Item,Parent,2011-12,2012-13,2013-14,2010-11
Management of Capability Sustainment,Defence Material Organisation,0,5094000000,5639000000,0
Other,Management of Capability Sustainment,0,5094000000,3096000000,0
Colins Class Submarine,Management of Capability Sustainment,0,0,574000000,0
F/A-18A Hornet Weapons System,Management of Capability Sustainment,0,0,158000000,0
P-3C/AP-3C Orion Weapons System,Management of Capability Sustainment,0,0,110000000,0
F/A-18F Block II Super Hornet Weapons System,Management of Capability Sustainment,0,0,123000000,0
A rmed Reconnaissance Helicopter Weapons System,Management of Capability Sustainment,0,0,104000000,0
Multi Role Helicopter,Management of Capability Sustainment,0,0,121000000,0
Adelaide class frigate,Management of Capability Sustainment,0,0,89000000,0
Anzac  class  frigate,Management of Capability Sustainment,0,0,224000000,0
"Fuels and Lubricants - Navy, Army, Air Force",Management of Capability Sustainment,0,0,507000000,0
Airborne Early Warning & Control,Management of Capability Sustainment,0,0,163000000,0
"Explosive Ordnance - Navy, Army, Air Force",Management of Capability Sustainment,0,0,370000000,0
Management of Capability Acquisition,Defence Material Organisation,0,3558000000,3906000000,0
Other,Management of Capability Acquisition,0,3558000000,1682000000,0
Joint Strike Fighter Aircraft,Management of Capability Acquisition,0,0,231000000,0
Field Vehicles and Trailers - Overlander Program,Management of Capability Acquisition,0,0,235000000,0
Amphibious Deployment and Sustainment,Management of Capability Acquisition,0,0,203000000,0
Air Warfare Destroyer Build,Management of Capability Acquisition,0,0,625000000,0
Future Naval Aviation Combat System Helicopter,Management of Capability Acquisition,0,0,412000000,0
Multi Role Helicopter,Management of Capability Acquisition,0,0,204000000,0
Battlefield A irlift - Caribou Replacement,Management of Capability Acquisition,0,0,162000000,0
Battlespace Communications System (LAND),Management of Capability Acquisition,0,0,152000000,0
Department of Defence,Defence portfolio,0,30899000000,30460000000,0
Defence Contribution to National Support Tasks in Australia,Department of Defence,0,9000000,16000000,0
Military Operations,Department of Defence,0,1419000000,912000000,0
Operations Supporting Wider Interests,Military Operations,0,1251000000,895000000,0
Operations Contributing to the Security of the Immediate Neighbourhood,Military Operations,0,168000000,16000000,0
Military Capability,Department of Defence,0,29470000000,29531000000,0
Housing Assistance,Military Capability,0,98000000,106000000,0
Defence Force Superannuation Nominal Interest,Military Capability,0,2680000000,2927000000,0
Defence Force Superannuation Benefits,Military Capability,0,3170000000,1352000000,0
Chief Finance Officer,Military Capability,0,1318000000,1382000000,0
Capability Development,Military Capability,0,301000000,970000000,0
Joint Operations Command,Military Capability,0,46000000,51000000,0
Vice Chief of the Defence Force,Military Capability,0,1403000000,1482000000,0
